orthography,IPA,Unnamed: 2
problema,problema,pɾo-'βle-ma
dólar,'ðo-laɾ,'ðo-laɾ
pensabas,pen-'sa-βas,
calidad,kal-'i-ðað,
parecido,paɾ-e-'si-ðo,
será,se-'ɾa,
deberías,de-βe-'ɾi-as,
quinto,'kin̪-to,
intentado,in̪-ten̪-'ta-ðo,
Angeles,REMOVE,
crees,'kɾe-es,
cargar,kaɾ-'ɣaɾ,
fascinante,fa-si-'nan̪-te,
jon,'hon,
veré,βe-'ɾe,
vigila,vi-'hi-la,
pases,'pa-ses,
debió,de-'bi̯o,
dejando,de-'han̪-ðo,
acusado,a-ku-'san̪-ðo,
extraña,eks-'tɾa-ɲa,
puerta,'pu̯eɾ-ta,
privada,pɾi-'βa-ða,
pocos,'po-kos,
bola,'bo-la,
condición,kon̪-ði-'si̯on,
navidad,na-'βi-ðað,
tigre,'ti-ɣɾe,
puso,'pu-so,
parada,pa-'ɾa-ða,
canción,kan-'si̯on,
acabado,a-ka-'βa-ðo,
academia,a-ka-'ðe-mi̯a,
nave,'na-βe,
señores,se-'ɲo-ɾes,
noches,'no-t͡ʃes,
federal,fe-'ðe-ɾal,
usan,'u-san,
velas,'βe-las,
buddy,REMOVE,
tocar,to-'kaɾ,
toque,'to-ke,
cortar,koɾ-'taɾ,
tuvieron,tu-'βi̯e-ɾon,
varios,'βa-ri̯os,
aprender,a-pɾen̪-'ðeɾ,
sabe,'sa-βe,
cafetería,ka-fe-te-'ɾi-a,
entera,en̪-'te-ɾa,
asientos,a-'si̯en̪-tos,
gustaría,ɣus-ta-'ɾi-a,
cargo,'kaɾ-ɣo,
dispararon,ðis-pa-'ɾa-ɾon,
Juan,'hu̯an,
oh,REMOVE,
espera,es-'pe-ɾa,
súbete,'su-βe-te,
convertido,kon-βeɾ-'ti–ðo,
poder,po-'ðeɾ,
parker,REMOVE,
ay,'ai̯,
ningún,niŋ-'ɣun,
contento,kon̪-'ten̪-to,
eras,'e-ɾas,
americana,a-me-ɾi-'ka-na,
usr,REMOVE,
abuela,a-'βu̯e-la,
instituto,ins-ti-'tu-to,
errores,e-'ro-ɾes,
henry,,
prometes,'en-ɾi,
castle,REMOVE,
cenar,se-'naɾ,
dejarte,ðe-'haɾ-te,
serías,se-'ɾi-as,
ciertamente,si̯eɾ-ta-'men̪-te,
hablaremos,a-βla-'ɾe-mos,
visión,βi-'si̯on,
después,ðes-'pu̯es,
suave,'su̯a-βe,
sientes,'si̯en̪-tes,
genio,'he-ni̯o,
moviendo,mo-'βi̯en̪-ðo,
hicieras,i-'si̯e-ɾas,
muchas,'mu-t͡ʃas,
sigues,'si-ɣes,
dispuesto,ðis-'pu̯es-to,
preguntarle,pɾe-ɣun̪-'taɾ-le,
honesto,o-'nes-to,
quedaré,ke-ða-'ɾe,
hacía,a-'si-a,
bond,'βond,
bandera,βan̪-ðe-ɾa,
meta,'me-ta,
sabéis,sa-'βe-is,
padre,'pa-ðɾe,
flor,'floɾ,
eres,'e-ɾes,
comencé,ko-men-'se,
conocimos,ko-no-'si-mos,
